,"interview_id,",word_idx,word,label
0,MBY005779,0,LOUISA,B-LOC
1,MBY005779,1,SANCHEZ,I-LOC
2,MBY005779,9,Luisa,B-PER
3,MBY005779,10,Sanchez,I-PER
4,MBY005779,107,Colorado,B-LOC
5,MBY005779,108,Springs,I-LOC
6,MBY005779,110,Colorado,B-LOC
7,MBY005779,205,Wilbert,B-PER
8,MBY005779,206,Sanchez,I-PER
9,MBY005779,270,Colorado,B-LOC
10,MBY005779,271,Springs,I-LOC
11,MBY005779,273,Colorado,B-LOC
12,MBY005779,310,Louise.Interviewer,B-PER
13,MBY005779,320,LOUISA,B-ORG
14,MBY005779,321,SANCHEZ,I-ORG
15,MBY005779,328,Colorado,B-LOC
16,MBY005779,334,San,B-LOC
17,MBY005779,335,Luis,I-LOC
18,MBY005779,454,San,B-LOC
19,MBY005779,455,Luis,I-LOC
20,MBY005779,456,Valley,I-LOC
21,MBY005779,458,Alamosa.Interviewer,B-ORG
22,MBY005779,468,LOUISA,B-ORG
23,MBY005779,469,SANCHEZ,I-ORG
24,MBY005779,479,LOUISA,B-ORG
25,MBY005779,480,SANCHEZ,I-ORG
26,MBY005779,494,San,B-LOC
27,MBY005779,495,Luis,I-LOC
28,MBY005779,519,LOUISA,B-ORG
29,MBY005779,556,SANCHEZ,I-ORG
30,MBY005779,1057,WILBERT,B-PER
31,MBY005779,1153,Kleenex,B-MISC
32,MBY005779,1168,LOUISA,B-ORG
33,MBY005779,1169,SANCHEZ,I-ORG
34,MBY005779,1364,Kleenex,B-MISC
35,MBY005779,1384,Kleenex,B-MISC
36,MBY005779,1515,SANCHEZ,I-ORG
37,MBY005779,1654,WILBERT,B-PER
38,MBY005779,1655,SANCHEZ,I-ORG
39,MBY005779,1745,SANCHEZ,I-ORG
40,MBY005779,1959,Colorado,B-LOC
41,MBY005779,1960,Springs,I-LOC
42,MBY005779,1971,San,B-LOC
43,MBY005779,1972,Luis,I-LOC
44,MBY005779,1987,Colorado,B-LOC
45,MBY005779,1988,Springs,I-LOC
46,MBY005779,2277,LOUISA,B-ORG
47,MBY005779,2278,SANCHEZ,I-ORG
48,MBY005779,2330,LOUISA,B-ORG
49,MBY005779,2331,SANCHEZ,I-ORG
50,MBY005779,2987,LOUISA,B-PER
51,MBY005779,2988,SANCHEZ,I-ORG
52,MBY005779,3598,SANCHEZ,I-ORG
53,MBY005779,4516,WILBERT,B-PER
54,MBY005779,4517,SANCHEZ,I-ORG
55,MBY005779,4985,WILBERT,B-PER
56,MBY005779,5382,WILBERT,B-ORG
57,MBY005779,5389,LOUISA,B-ORG
58,MBY005779,5395,SANCHEZ,I-ORG
59,MBY005779,6122,WILBERT,B-PER
60,MBY005779,6123,SANCHEZ,I-ORG
61,MBY005779,6220,WILBERT,B-ORG
62,MBY005779,6322,WILBERT,B-PER
63,MBY005779,6439,LOUISA,B-ORG
64,MBY005779,6440,SANCHEZ,I-ORG
65,MBY005779,7202,WILBERT,B-PER
66,MBY005779,7203,SANCHEZ,I-ORG
67,MBY005779,7481,SANCHEZ,I-ORG
68,MBY005779,7912,San,B-LOC
69,MBY005779,7913,Luis,I-LOC
70,MBY005779,8032,San,B-LOC
71,MBY005779,8033,Luis,I-LOC
72,MBY005779,8066,San,B-LOC
73,MBY005779,8067,Luis,I-LOC
